model,time_seconds,ram_after_mb,document_id,rouge1_f1,rouge2_f1,rougeL_f1
Proposed (Mamba + semantic + keyword + position),0.11479920000419952,0.015221595764160156,35761011,0.11965811649937914,0.015384612472189897,0.10256409940536206
Proposed (Mamba + semantic + keyword + position),0.22186550000333227,0.023447036743164062,39632041,0.10416666432508687,0.016806720742885615,0.08333333099175355
Proposed (Mamba + semantic + keyword + position),0.12770299997646362,0.017940521240234375,29252950,0.24999999580000004,0.04301074856746484,0.2249999958000001
Proposed (Mamba + semantic + keyword + position),0.13915559998713434,0.014219284057617188,40615948,0.11864406455616211,0.0,0.11864406455616211
Proposed (Mamba + semantic + keyword + position),0.0687362999888137,0.009036064147949219,36226983,0.14705882009083052,0.0,0.1176470553849482
Proposed (Full LiteMambaSum),4.926762099988991,24.07644748687744,34363226,0.10869564842391316,0.0,0.0869565179891306
Proposed (Full LiteMambaSum),2.725373099994613,21.76335334777832,36914724,0.06249999715332044,0.0,0.06249999715332044
Proposed (Full LiteMambaSum),2.8524222999985795,21.7512264251709,40855910,0.153846149861128,0.0,0.131868127883106
Proposed (Full LiteMambaSum),2.6087439999973867,21.764080047607422,32736400,0.1408450670898632,0.02380952072562398,0.1408450670898632
Proposed (Full LiteMambaSum),2.6405552999931388,21.745458602905273,40648389,0.16393442235958086,0.031249996411133227,0.16393442235958086
Proposed (Full LiteMambaSum),2.8161046000022907,21.869491577148438,39258636,0.10526315488919677,0.0,0.08771929524007396
Proposed (Full LiteMambaSum),2.7080702999955975,21.66458225250244,38839837,0.15384614940170957,0.0,0.1282051237606839
Proposed (Full LiteMambaSum),2.607500100013567,21.757823944091797,32136921,0.11594202527200181,0.0,0.08695651802562504
Proposed (Full LiteMambaSum),0.00028119998751208186,0.00032520294189453125,35523296,0.16666666191358037,0.0,0.16666666191358037
Proposed (Full LiteMambaSum),2.651886299980106,21.66024112701416,32612168,0.18181817871645756,0.03333333044583359,0.12121211811039696
Proposed (Full LiteMambaSum),2.5649295000184793,21.759138107299805,33638005,0.24999999593233477,0.07766989904420794,0.24999999593233477
Proposed (Full LiteMambaSum),2.6572178000060376,21.761454582214355,39654348,0.19512194707911967,0.04301074896519861,0.14634145927424164
Proposed (Full LiteMambaSum),2.7716825999959838,21.773944854736328,39950399,0.11111110778024702,0.0,0.08888888555802482
