model,document_id,time_seconds,python_memory_delta_mb,rouge1_f1,rouge2_f1,rougeL_f1
Proposed (Contextual ranker + semantic + TF-IDF + position),38839837,0.08521509997081012,0.014735221862792969,0.20224719101123598,0.0,0.1348314606741573
Proposed (Contextual ranker + semantic + TF-IDF + position),32136921,0.05196419998537749,0.011582374572753906,0.11235955056179774,0.0,0.06741573033707865
Proposed (Contextual ranker + semantic + TF-IDF + position),35523296,0.0003522000042721629,0.00032520294189453125,0.18823529411764706,0.0,0.11764705882352942
Proposed (Contextual ranker + semantic + TF-IDF + position),32612168,0.1101075999904424,0.014998435974121094,0.19834710743801653,0.03361344537815126,0.09917355371900827
Proposed (Contextual ranker + semantic + TF-IDF + position),33638005,0.06540850002784282,0.015349388122558594,0.3392857142857143,0.16363636363636364,0.2857142857142857
Proposed (Contextual ranker + semantic + TF-IDF + position),39654348,0.08917039999505505,0.01535797119140625,0.24242424242424243,0.020618556701030927,0.18181818181818182
Proposed (Contextual ranker + semantic + TF-IDF + position),39950399,0.12199499999405816,0.023733139038085938,0.13675213675213677,0.017391304347826087,0.06837606837606838
Proposed (Contextual ranker + semantic + TF-IDF + position),16222940,0.20558359997812659,0.031693458557128906,0.2424242424242424,0.08247422680412371,0.14141414141414144
Proposed (Contextual ranker + semantic + TF-IDF + position),38389507,0.061011900019366294,0.014513015747070312,0.1346153846153846,0.0,0.07692307692307693
Proposed (Contextual ranker + semantic + TF-IDF + position),30346384,0.13078509998740628,0.017686843872070312,0.21428571428571427,0.04878048780487805,0.14285714285714285
Proposed (Contextual ranker + semantic + TF-IDF + position),35436910,0.04126749996794388,0.009786605834960938,0.15555555555555556,0.045454545454545456,0.08888888888888889
Proposed (Contextual ranker + semantic + TF-IDF + position),29021180,0.03825390001293272,0.008032798767089844,0.12307692307692307,0.0,0.0923076923076923
Proposed (Contextual ranker + semantic + TF-IDF + position),32713124,0.1066498999716714,0.023383140563964844,0.15294117647058825,0.02380952380952381,0.09411764705882353
Proposed (Contextual ranker + semantic + TF-IDF + position),36684452,0.22849670000141487,0.030729293823242188,0.15602836879432624,0.043165467625899276,0.1276595744680851
Proposed (Contextual ranker + semantic + TF-IDF + position),34718944,0.06777349999174476,0.011376380920410156,0.14545454545454548,0.0,0.0909090909090909
Proposed (Contextual ranker + semantic + TF-IDF + position),29455992,0.08402849995763972,0.017675399780273438,0.2588235294117647,0.04819277108433735,0.18823529411764708
Proposed (Contextual ranker + semantic + TF-IDF + position),34152489,0.07254379999358207,0.014647483825683594,0.12903225806451613,0.01639344262295082,0.0967741935483871
Proposed (Contextual ranker + semantic + TF-IDF + position),37805331,0.06632099999114871,0.011209487915039062,0.2043795620437956,0.04444444444444444,0.13138686131386862
Proposed (Contextual ranker + semantic + TF-IDF + position),36189022,0.12296210002386943,0.02216339111328125,0.3,0.08163265306122448,0.12
Proposed (Contextual ranker + semantic + TF-IDF + position),35761011,0.07878050004364923,0.015239715576171875,0.13333333333333333,0.015037593984962405,0.05925925925925926
Proposed (Contextual ranker + semantic + TF-IDF + position),39632041,0.15911300003062934,0.023281097412109375,0.12598425196850394,0.016,0.09448818897637795
Proposed (Contextual ranker + semantic + TF-IDF + position),29252950,0.07952540001133457,0.01526641845703125,0.3921568627450981,0.1,0.19607843137254904
Proposed (Contextual ranker + semantic + TF-IDF + position),40615948,0.09915039996849373,0.013998985290527344,0.2112676056338028,0.014285714285714287,0.12676056338028172
Proposed (Contextual ranker + semantic + TF-IDF + position),36226983,0.04611629998544231,0.008917808532714844,0.136986301369863,0.0,0.08219178082191782
